"Team","Opp","Location","P1TG","P2TG","P3TG","OTTG","TGG","P1OG","P2OG","P3OG","OTOG","TOG"
"TBL","CAR","away","0","1","3","0","4","1","0","0","0","1"
"TBL","VAN","home","1","1","2","0","4","0","0","1","0","1"
"TBL","VGK","home","2","0","2","0","4","2","1","0","0","3"
"TBL","OTT","away","0","3","1","0","4","2","2","1","0","5"
"TBL","TOR","away","1","0","1","0","2","1","4","0","0","5"
"TBL","NJD","away","1","5","2","0","8","1","1","3","0","5"
"TBL","MIN","home","0","2","0","0","2","1","1","2","0","4"
"TBL","WSH","home","0","1","2","0","3","0","0","0","0","0"
"TBL","0","home","2","0","0","0","2","2","0","0","0","2"
"TBL","COL","away","3","1","1","0","5","1","0","1","0","2"
"TBL","MIN","away","1","0","2","0","3","0","1","4","0","5"
"TBL","WPG","away","2","1","1","0","4","1","2","4","0","7"
"TBL","STL","away","0","1","1","0","2","0","2","1","0","3"
"TBL","0","home","1","0","0","0","1","0","1","1","0","2"
"TBL","WPG","home","1","2","1","0","4","0","1","0","0","1"
"TBL","NJD","home","1","0","3","0","4","0","0","0","0","0"
