"Date","HomeAway","HomeTeam","Awayteam","SinglesCount","DoublesCount","TriplesCount","HomeRunsCount","RunsCount","Strikeout","Walks"
"2024-03-30","away","kc","min","0","0","0","0","0","0","0"
"2024-03-31","away","kc","min","0","0","0","0","0","1","0"
"2024-04-02","away","mil","min","0","0","0","0","0","0","0"
"2024-04-03","away","mil","min","1","0","0","0","0","0","0"
"2024-04-04","home","min","cle","0","0","1","0","0","2","0"
"2024-04-06","home","min","cle","0","0","1","0","1","2","1"
"2024-03-28","away","kc","min","0","0","0","1","0","1","1"
"2024-04-13","away","det","min","0","0","0","0","1","1","2"
"2024-04-13","away","det","min","0","0","0","0","0","1","0"
"2024-04-12","away","det","min","0","0","0","0","0","1","0"
"2024-04-10","home","min","lad","1","0","0","1","0","1","0"
"2024-04-09","home","min","lad","0","0","0","0","0","1","0"
"2024-04-08","home","min","lad","1","0","0","0","0","1","0"
"2024-04-17","away","bal","min","0","0","0","0","0","1","0"
"2024-04-19","home","min","det","0","1","0","1","1","1","0"
"2024-04-15","away","bal","min","0","1","0","0","0","0","0"
"2024-04-16","away","bal","min","1","0","0","0","0","0","0"
"2024-04-20","home","min","det","0","0","0","0","0","2","1"
"2024-04-21","home","min","det","1","0","0","0","0","0","2"
"2024-04-14","away","det","min","2","0","0","0","0","1","0"
